season,position,team,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2005,7,Villarreal,38,14,15,9,50,39,11,57
2005,8,Deportivo La Coruña,38,15,10,13,47,45,2,55
2005,9,Getafe,38,15,9,14,54,49,5,54
2005,10,Atlético Madrid,38,13,13,12,45,37,8,52
2005,11,Real Zaragoza,38,10,16,12,46,51,-5,46
2005,12,Athletic Club,38,11,12,15,40,46,-6,45
2005,13,Mallorca,38,10,13,15,37,51,-14,43
2005,14,Real Betis,38,10,12,16,34,51,-17,42
2005,15,Espanyol,38,10,11,17,36,56,-20,41
2005,16,Real Sociedad,38,11,7,20,48,65,-17,40
2005,17,Racing Santander,38,9,13,16,36,49,-13,40
2005,18,Alavés,38,9,12,17,35,54,-19,39
2005,19,Cádiz,38,8,12,18,36,52,-16,36
2005,20,Málaga,38,5,9,24,36,68,-32,24
2006,1,Real Madrid,38,23,7,8,66,40,26,76
2006,2,Barcelona,38,22,10,6,78,33,45,76
2006,3,Sevilla FC,38,21,8,9,64,35,29,71
2006,4,Valencia,38,20,6,12,57,42,15,66
2006,5,Villarreal,38,18,8,12,48,44,4,62
2006,6,Real Zaragoza,38,16,12,10,55,43,12,60
2006,7,Atlético Madrid,38,17,9,12,46,39,7,60
2006,8,Recreativo Huelva,38,15,9,14,54,52,2,54
2006,9,Getafe,38,14,10,14,39,33,6,52
2006,10,Racing Santander,38,12,14,12,42,48,-6,50
2006,11,Espanyol,38,12,13,13,46,53,-7,49
2006,12,Mallorca,38,14,7,17,41,47,-6,49
2006,13,Deportivo La Coruña,38,12,11,15,32,45,-13,47
2006,14,Osasuna,38,13,7,18,51,49,2,46
2006,15,Levante,38,10,12,16,37,53,-16,42
2006,16,Real Betis,38,8,16,14,36,49,-13,40
2006,17,Athletic Club,38,10,10,18,44,62,-18,40
2006,18,Celta Vigo,38,10,9,19,40,59,-19,39
2006,19,Real Sociedad,38,8,11,19,32,47,-15,35
2006,20,Gimnàstic de Tarragona,38,7,7,24,34,69,-35,28
2007,1,Real Madrid,38,27,4,7,84,36,48,85
2007,2,Villarreal,38,24,5,9,63,40,23,77
2007,3,Barcelona,38,19,10,9,76,43,33,67
2007,4,Atlético Madrid,38,19,7,12,66,47,19,64
2007,5,Sevilla FC,38,20,4,14,75,49,26,64
2007,6,Racing Santander,38,17,9,12,42,41,1,60
2007,7,Mallorca,38,15,14,9,69,54,15,59
2007,8,Almería,38,14,10,14,42,45,-3,52
2007,9,Deportivo La Coruña,38,15,7,16,46,47,-1,52
2007,10,Valencia,38,15,6,17,48,62,-14,51
2007,11,Athletic Club,38,13,11,14,40,43,-3,50
2007,12,Espanyol,38,13,9,16,43,53,-10,48
2007,13,Real Betis,38,12,11,15,45,51,-6,47
2007,14,Getafe,38,12,11,15,44,48,-4,47
2007,15,Real Valladolid,38,11,12,15,42,57,-15,45
2007,16,Recreativo Huelva,38,11,11,16,40,60,-20,44
2007,17,Osasuna,38,12,7,19,37,44,-7,43
2007,18,Real Zaragoza,38,10,12,16,50,61,-11,42
2007,19,Real Murcia,38,7,9,22,36,65,-29,30
2007,20,Levante,38,7,5,26,33,75,-42,26
2008,1,Barcelona,38,27,6,5,105,35,70,87
2008,2,Real Madrid,38,25,3,10,83,52,31,78
2008,3,Sevilla FC,38,21,7,10,54,39,15,70
2008,4,Atlético Madrid,38,20,7,11,80,57,23,67
2008,5,Villarreal,38,18,11,9,61,54,7,65
2008,6,Valencia,38,18,8,12,68,54,14,62
2008,7,Deportivo La Coruña,38,16,10,12,48,47,1,58
2008,8,Málaga,38,15,10,13,55,59,-4,55
2008,9,Mallorca,38,14,9,15,53,60,-7,51
2008,10,Espanyol,38,12,11,15,46,49,-3,47
2008,11,Almería,38,13,7,18,45,61,-16,46
2008,12,Racing Santander,38,12,10,16,49,48,1,46
2008,13,Athletic Club,38,12,8,18,47,62,-15,44
2008,14,Sporting Gijón,38,14,1,23,47,79,-32,43
2008,15,Osasuna,38,10,13,15,41,47,-6,43
2008,16,Real Valladolid,38,12,7,19,46,58,-12,43
2008,17,Getafe,38,10,12,16,50,56,-6,42
2008,18,Real Betis,38,10,12,16,51,58,-7,42
2008,19,Numancia,38,10,5,23,38,69,-31,35
2008,20,Recreativo Huelva,38,8,9,21,34,57,-23,33
2009,1,Barcelona,38,31,6,1,98,24,74,99
2009,2,Real Madrid,38,31,3,4,102,35,67,96
2009,3,Valencia,38,21,8,9,59,40,19,71
2009,4,Sevilla FC,38,19,6,13,65,49,16,63
2009,5,Mallorca,38,18,8,12,59,44,15,62
2009,6,Getafe,38,17,7,14,58,48,10,58
2009,7,Villarreal,38,16,8,14,58,57,1,56
2009,8,Athletic Club,38,15,9,14,50,53,-3,54
2009,9,Atlético Madrid,38,13,8,17,57,61,-4,47
2009,10,Deportivo La Coruña,38,13,8,17,35,49,-14,47
2009,11,Espanyol,38,11,11,16,29,46,-17,44
2009,12,Osasuna,38,11,10,17,37,46,-9,43
2009,13,Almería,38,10,12,16,43,55,-12,42
2009,14,Real Zaragoza,38,10,11,17,46,64,-18,41
2009,15,Sporting Gijón,38,9,13,16,36,51,-15,40
2009,16,Racing Santander,38,9,12,17,42,59,-17,39
2009,17,Málaga,38,7,16,15,42,48,-6,37
2009,18,Real Valladolid,38,7,15,16,37,62,-25,36
2009,19,Tenerife,38,9,9,20,40,74,-34,36
2009,20,Xerez,38,8,10,20,38,66,-28,34
2010,1,Barcelona,38,30,6,2,95,21,74,96
2010,2,Real Madrid,38,29,5,4,102,33,69,92
2010,3,Valencia,38,21,8,9,64,44,20,71
2010,4,Villarreal,38,18,8,12,54,44,10,62
2010,5,Sevilla FC,38,17,7,14,62,61,1,58
2010,6,Athletic Club,38,18,4,16,59,55,4,58
2010,7,Atlético Madrid,38,17,7,14,62,53,9,58
2010,8,Espanyol,38,15,4,19,46,55,-9,49
2010,9,Osasuna,38,13,8,17,45,46,-1,47
2010,10,Sporting Gijón,38,11,14,13,35,42,-7,47
2010,11,Málaga,38,13,7,18,54,68,-14,46
2010,12,Racing Santander,38,12,10,16,41,56,-15,46
2010,13,Real Zaragoza,38,12,9,17,40,53,-13,45
2010,14,Levante,38,12,9,17,41,52,-11,45
2010,15,Real Sociedad,38,14,3,21,49,66,-17,45
2010,16,Getafe,38,12,8,18,49,60,-11,44
2010,17,Mallorca,38,12,8,18,41,56,-15,44
2010,18,Deportivo La Coruña,38,10,13,15,31,47,-16,43
2010,19,Hercules,38,9,8,21,36,60,-24,35
2010,20,Almería,38,6,12,20,36,70,-34,30
2011,1,Real Madrid,38,32,4,2,121,32,89,100
2011,2,Barcelona,38,28,7,3,114,29,85,91
2011,3,Valencia,38,17,10,11,59,44,15,61
2011,4,Málaga,38,17,7,14,54,53,1,58
2011,5,Atlético Madrid,38,15,11,12,53,46,7,56
2011,6,Levante,38,16,7,15,54,50,4,55
2011,7,Osasuna,38,13,15,10,44,61,-17,54
2011,8,Mallorca,38,14,10,14,42,46,-4,52
2011,9,Sevilla FC,38,13,11,14,48,47,1,50
2011,10,Athletic Club,38,12,13,13,49,52,-3,49
2011,11,Getafe,38,12,11,15,40,51,-11,47
2011,12,Real Sociedad,38,12,11,15,46,52,-6,47
2011,13,Real Betis,38,13,8,17,47,56,-9,47
2011,14,Espanyol,38,12,10,16,46,56,-10,46
2011,15,Rayo Vallecano,38,13,4,21,53,73,-20,43
2011,16,Real Zaragoza,38,12,7,19,36,61,-25,43
2011,17,Granada,38,12,6,20,35,56,-21,42
2011,18,Villarreal,38,9,14,15,39,53,-14,41
2011,19,Sporting Gijón,38,10,7,21,42,69,-27,37
2011,20,Racing Santander,38,4,15,19,28,63,-35,27
2012,1,Barcelona,38,32,4,2,115,40,75,100
2012,2,Real Madrid,38,26,7,5,103,42,61,85
2012,3,Atlético Madrid,38,23,7,8,65,31,34,76
2012,4,Real Sociedad,38,18,12,8,70,49,21,66
2012,5,Valencia,38,19,8,11,67,54,13,65
2012,6,Málaga,38,16,9,13,53,50,3,57
2012,7,Real Betis,38,16,8,14,57,56,1,56
2012,8,Rayo Vallecano,38,16,5,17,50,66,-16,53
2012,9,Sevilla FC,38,14,8,16,58,54,4,50
2012,10,Getafe,38,13,8,17,43,57,-14,47
2012,11,Levante,38,12,10,16,40,57,-17,46
2012,12,Athletic Club,38,12,9,17,44,65,-21,45
2012,13,Espanyol,38,11,11,16,43,52,-9,44
2012,14,Real Valladolid,38,11,10,17,49,58,-9,43
2012,15,Granada,38,11,9,18,37,54,-17,42
2012,16,Osasuna,38,10,9,19,33,50,-17,39
2012,17,Celta Vigo,38,10,7,21,37,52,-15,37
2012,18,Mallorca,38,9,9,20,43,72,-29,36
2012,19,Deportivo La Coruña,38,8,11,19,47,70,-23,35
2012,20,Real Zaragoza,38,9,7,22,37,62,-25,34
2013,1,Atlético Madrid,38,28,6,4,77,26,51,90
2013,2,Barcelona,38,27,6,5,100,33,67,87
2013,3,Real Madrid,38,27,6,5,104,38,66,87
2013,4,Athletic Club,38,20,10,8,66,39,27,70
2013,5,Sevilla FC,38,18,9,11,69,52,17,63
2013,6,Villarreal,38,17,8,13,60,44,16,59
2013,7,Real Sociedad,38,16,11,11,62,55,7,59
2013,8,Valencia,38,13,10,15,51,53,-2,49
2013,9,Celta Vigo,38,14,7,17,49,54,-5,49
2013,10,Levante,38,12,12,14,35,43,-8,48
2013,11,Málaga,38,12,9,17,39,46,-7,45
2013,12,Rayo Vallecano,38,13,4,21,46,80,-34,43
2013,13,Getafe,38,11,9,18,35,54,-19,42
2013,14,Espanyol,38,11,9,18,41,51,-10,42
2013,15,Granada,38,12,5,21,32,56,-24,41
2013,16,Elche,38,9,13,16,30,50,-20,40
2013,17,Almería,38,11,7,20,43,71,-28,40
2013,18,Osasuna,38,10,9,19,32,62,-30,39
2013,19,Real Valladolid,38,7,15,16,38,60,-22,36
2013,20,Real Betis,38,6,7,25,36,78,-42,25
2014,1,Barcelona,38,30,4,4,110,21,89,94
2014,2,Real Madrid,38,30,2,6,118,38,80,92
2014,3,Atlético Madrid,38,23,9,6,67,29,38,78
2014,4,Valencia,38,22,11,5,70,32,38,77
2014,5,Sevilla FC,38,23,7,8,71,45,26,76
2014,6,Villarreal,38,16,12,10,48,37,11,60
2014,7,Athletic Club,38,15,10,13,42,41,1,55
2014,8,Celta Vigo,38,13,12,13,47,44,3,51
2014,9,Málaga,38,14,8,16,42,48,-6,50
2014,10,Espanyol,38,13,10,15,47,51,-4,49
2014,11,Rayo Vallecano,38,15,4,19,46,68,-22,49
2014,12,Real Sociedad,38,11,13,14,44,51,-7,46
2014,13,Elche,38,11,8,19,35,62,-27,41
2014,14,Levante,38,9,10,19,34,67,-33,37
2014,15,Getafe,38,10,7,21,33,64,-31,37
2014,16,Deportivo La Coruña,38,7,14,17,35,60,-25,35
2014,17,Granada,38,7,14,17,29,64,-35,35
2014,18,Eibar,38,9,8,21,34,55,-21,35
2014,19,Almería,38,8,8,22,35,64,-29,29
2014,20,Córdoba,38,3,11,24,22,68,-46,20
2015,1,Barcelona,38,29,4,5,112,29,83,91
2015,2,Real Madrid,38,28,6,4,110,34,76,90
2015,3,Atlético Madrid,38,28,4,6,63,18,45,88
2015,4,Villarreal,38,18,10,10,44,35,9,64
2015,5,Athletic Club,38,18,8,12,58,45,13,62
2015,6,Celta Vigo,38,17,9,12,51,59,-8,60
2015,7,Sevilla FC,38,14,10,14,51,50,1,52
2015,8,Málaga,38,12,12,14,38,35,3,48
2015,9,Real Sociedad,38,13,9,16,45,48,-3,48
2015,10,Real Betis,38,11,12,15,34,52,-18,45
2015,11,Las Palmas,38,12,8,18,45,53,-8,44
2015,12,Valencia,38,11,11,16,46,48,-2,44
2015,13,Espanyol,38,12,7,19,40,74,-34,43
2015,14,Eibar,38,11,10,17,49,61,-12,43
2015,15,Deportivo La Coruña,38,8,18,12,45,61,-16,42
2015,16,Granada,38,10,9,19,46,69,-23,39
2015,17,Sporting Gijón,38,10,9,19,40,62,-22,39
2015,18,Rayo Vallecano,38,9,11,18,52,73,-21,38
2015,19,Getafe,38,9,9,20,37,67,-30,36
2015,20,Levante,38,8,8,22,37,70,-33,32
2016,1,Real Madrid,38,29,6,3,106,41,65,93
2016,2,Barcelona,38,28,6,4,116,37,79,90
2016,3,Atlético Madrid,38,23,9,6,70,27,43,78
2016,4,Sevilla FC,38,21,9,8,69,49,20,72
2016,5,Villarreal,38,19,10,9,56,33,23,67
2016,6,Real Sociedad,38,19,7,12,59,53,6,64
2016,7,Athletic Club,38,19,6,13,53,43,10,63
2016,8,Espanyol,38,15,11,12,49,50,-1,56
2016,9,Alavés,38,14,13,11,41,43,-2,55
2016,10,Eibar,38,15,9,14,56,51,5,54
2016,11,Málaga,38,12,10,16,49,55,-6,46
2016,12,Valencia,38,13,7,18,56,65,-9,46
2016,13,Celta Vigo,38,13,6,19,53,69,-16,45
2016,14,Las Palmas,38,10,9,19,53,74,-21,39
2016,15,Real Betis,38,10,9,19,41,64,-23,39
2016,16,Deportivo La Coruña,38,8,12,18,43,61,-18,36
2016,17,Leganés,38,8,11,19,36,55,-19,35
2016,18,Sporting Gijón,38,7,10,21,42,72,-30,31
2016,19,Osasuna,38,4,10,24,40,94,-54,22
2016,20,Granada,38,4,8,26,30,82,-52,20
2017,1,Barcelona,38,28,9,1,99,29,70,93
2017,2,Atlético Madrid,38,23,10,5,58,22,36,79
2017,3,Real Madrid,38,22,10,6,94,44,50,76
2017,4,Valencia,38,22,7,9,65,38,27,73
2017,5,Villarreal,38,18,7,13,57,50,7,61
2017,6,Real Betis,38,18,6,14,60,61,-1,60
2017,7,Sevilla FC,38,17,7,14,49,58,-9,58
2017,8,Getafe,38,15,10,13,42,33,9,55
2017,9,Eibar,38,14,9,15,44,50,-6,51
2017,10,Girona,38,14,9,15,50,59,-9,51
2017,11,Espanyol,38,12,13,13,36,42,-6,49
2017,12,Real Sociedad,38,14,7,17,66,59,7,49
2017,13,Celta Vigo,38,13,10,15,59,60,-1,49
2017,14,Alavés,38,15,2,21,40,50,-10,47
2017,15,Levante,38,11,13,14,44,58,-14,46
2017,16,Athletic Club,38,10,13,15,41,49,-8,43
2017,17,Leganés,38,12,7,19,34,51,-17,43
2017,18,Deportivo La Coruña,38,6,11,21,38,76,-38,29
2017,19,Las Palmas,38,5,7,26,24,74,-50,22
2017,20,Málaga,38,5,5,28,24,61,-37,20
2018,1,Barcelona,38,26,9,3,90,36,54,87
2018,2,Atlético Madrid,38,22,10,6,55,29,26,76
2018,3,Real Madrid,38,21,5,12,63,46,17,68
2018,4,Valencia,38,15,16,7,51,35,16,61
2018,5,Getafe,38,15,14,9,48,35,13,59
2018,6,Sevilla FC,38,17,8,13,62,47,15,59
2018,7,Espanyol,38,14,11,13,48,50,-2,53
2018,8,Athletic Club,38,13,14,11,41,45,-4,53
2018,9,Real Sociedad,38,13,11,14,45,46,-1,50
2018,10,Real Betis,38,14,8,16,44,52,-8,50
2018,11,Alavés,38,13,11,14,39,50,-11,50
2018,12,Eibar,38,11,14,13,46,50,-4,47
2018,13,Leganés,38,11,12,15,37,43,-6,45
2018,14,Villarreal,38,10,14,14,49,52,-3,44
2018,15,Levante,38,11,11,16,59,66,-7,44
2018,16,Real Valladolid,38,10,11,17,32,51,-19,41
2018,17,Celta Vigo,38,10,11,17,53,62,-9,41
2018,18,Girona,38,9,10,19,37,53,-16,37
2018,19,Huesca,38,7,12,19,43,65,-22,33
2018,20,Rayo Vallecano,38,8,8,22,41,70,-29,32
2019,1,Real Madrid,38,26,9,3,70,25,45,87
2019,2,Barcelona,38,25,7,6,86,38,48,82
2019,3,Atlético Madrid,38,18,16,4,51,27,24,70
2019,4,Sevilla FC,38,19,13,6,54,34,20,70
2019,5,Villarreal,38,18,6,14,63,49,14,60
2019,6,Real Sociedad,38,16,8,14,56,48,8,56
2019,7,Granada,38,16,8,14,52,45,7,56
2019,8,Getafe,38,14,12,12,43,37,6,54
2019,9,Valencia,38,14,11,13,46,53,-7,53
2019,10,Osasuna,38,13,13,12,46,54,-8,52
2019,11,Athletic Club,38,13,12,13,41,38,3,51
2019,12,Levante,38,14,7,17,47,53,-6,49
2019,13,Real Valladolid,38,9,15,14,32,43,-11,42
2019,14,Eibar,38,11,9,18,39,56,-17,42
2019,15,Real Betis,38,10,11,17,48,60,-12,41
2019,16,Alavés,38,10,9,19,34,59,-25,39
2019,17,Celta Vigo,38,7,16,15,37,49,-12,37
2019,18,Leganés,38,8,12,18,30,51,-21,36
2019,19,Mallorca,38,9,6,23,40,65,-25,33
2019,20,Espanyol,38,5,10,23,27,58,-31,25
2020,1,Atlético Madrid,38,26,8,4,67,25,42,86
2020,2,Real Madrid,38,25,9,4,67,28,39,84
2020,3,Barcelona,38,24,7,7,85,38,47,79
2020,4,Sevilla FC,38,24,5,9,53,33,20,77
2020,5,Real Sociedad,38,17,11,10,59,38,21,62
2020,6,Real Betis,38,17,10,11,50,50,0,61
2020,7,Villarreal,38,15,13,10,60,44,16,58
2020,8,Celta Vigo,38,14,11,13,55,57,-2,53
2020,9,Granada,38,13,7,18,47,65,-18,46
2020,10,Athletic Club,38,11,13,14,46,42,4,46
2020,11,Osasuna,38,11,11,16,37,48,-11,44
2020,12,Cádiz,38,11,11,16,36,58,-22,44
2020,13,Valencia,38,10,13,15,50,53,-3,43
2020,14,Levante,38,9,14,15,46,57,-11,41
2020,15,Getafe,38,9,11,18,28,43,-15,38
2020,16,Alavés,38,9,11,18,36,57,-21,38
2020,17,Elche,38,8,12,18,34,55,-21,36
2020,18,Huesca,38,7,13,18,34,53,-19,34
2020,19,Real Valladolid,38,5,16,17,34,57,-23,31
2020,20,Eibar,38,6,12,20,29,52,-23,30
2021,1,Real Madrid,38,26,8,4,80,31,49,86
2021,2,Barcelona,38,21,10,7,68,38,30,73
2021,3,Atlético Madrid,38,21,8,9,65,43,22,71
2021,4,Sevilla FC,38,18,16,4,53,30,23,70
2021,5,Real Betis,38,19,8,11,62,40,22,65
2021,6,Real Sociedad,38,17,11,10,40,37,3,62
2021,7,Villarreal,38,16,11,11,63,37,26,59
2021,8,Athletic Club,38,14,13,11,43,36,7,55
2021,9,Valencia,38,11,15,12,48,53,-5,48
2021,10,Osasuna,38,12,11,15,37,51,-14,47
2021,11,Celta Vigo,38,12,10,16,43,43,0,46
2021,12,Rayo Vallecano,38,11,9,18,39,50,-11,42
2021,13,Elche,38,11,9,18,40,52,-12,42
2021,14,Espanyol,38,10,12,16,40,53,-13,42
2021,15,Getafe,38,8,15,15,33,41,-8,39
2021,16,Mallorca,38,10,9,19,36,63,-27,39
2021,17,Cádiz,38,8,15,15,35,51,-16,39
2021,18,Granada,38,8,14,16,44,61,-17,38
2021,19,Levante,38,8,11,19,51,76,-25,35
2021,20,Alavés,38,8,7,23,31,65,-34,31
2022,1,Barcelona,38,28,4,6,70,20,50,88
2022,2,Real Madrid,38,24,6,8,75,36,39,78
2022,3,Atlético Madrid,38,23,8,7,70,33,37,77
2022,4,Real Sociedad,38,21,8,9,51,35,16,71
2022,5,Villarreal,38,19,7,12,59,40,19,64
2022,6,Real Betis,38,17,9,12,46,41,5,60
2022,7,Osasuna,38,15,8,15,37,42,-5,53
2022,8,Athletic Club,38,14,9,15,47,43,4,51
2022,9,Mallorca,38,14,8,16,37,43,-6,50
2022,10,Girona,38,13,10,15,58,55,3,49
2022,11,Rayo Vallecano,38,13,10,15,45,53,-8,49
2022,12,Sevilla FC,38,13,10,15,47,54,-7,49
2022,13,Celta Vigo,38,11,10,17,43,53,-10,43
2022,14,Cádiz,38,10,12,16,30,53,-23,42
2022,15,Getafe,38,10,12,16,34,45,-11,42
2022,16,Valencia,38,11,9,18,42,45,-3,42
2022,17,Almería,38,11,8,19,49,65,-16,41
2022,18,Real Valladolid,38,11,7,20,33,63,-30,40
2022,19,Espanyol,38,8,13,17,52,69,-17,37
2022,20,Elche,38,5,10,23,30,67,-37,25
2023,1,Real Madrid,38,29,8,1,87,26,61,95
2023,2,Barcelona,38,26,7,5,79,44,35,85
2023,3,Girona,38,25,6,7,85,46,39,81
2023,4,Atlético Madrid,38,24,4,10,70,43,27,76
2023,5,Athletic Club,38,19,11,8,61,37,24,68
2023,6,Real Sociedad,38,16,12,10,51,39,12,60
2023,7,Real Betis,38,14,15,9,48,45,3,57
2023,8,Villarreal,38,14,11,13,65,65,0,53
2023,9,Valencia,38,13,10,15,40,45,-5,49
2023,10,Alavés,38,12,10,16,36,46,-10,46
2023,11,Osasuna,38,12,9,17,45,56,-11,45
2023,12,Getafe,38,10,13,15,42,54,-12,43
2023,13,Celta Vigo,38,10,11,17,46,57,-11,41
2023,14,Sevilla FC,38,10,11,17,48,54,-6,41
2023,15,Mallorca,38,8,16,14,33,44,-11,40
2023,16,Las Palmas,38,10,10,18,33,47,-14,40
2023,17,Rayo Vallecano,38,8,14,16,29,48,-19,38
2023,18,Cádiz,38,6,15,17,26,55,-29,33
2023,19,Almería,38,3,12,23,43,75,-32,21
2023,20,Granada,38,4,9,25,38,79,-41,21
2024,1,Barcelona,38,28,4,6,102,39,63,88
2024,2,Real Madrid,38,26,6,6,78,38,40,84
2024,3,Atlético Madrid,38,22,10,6,68,30,38,76
2024,4,Athletic Club,38,19,13,6,54,29,25,70
2024,5,Villarreal,38,20,10,8,71,51,20,70
2024,6,Real Betis,38,16,12,10,57,50,7,60
2024,7,Celta Vigo,38,16,7,15,59,57,2,55
2024,8,Rayo Vallecano,38,13,13,12,41,45,-4,52
2024,9,Osasuna,38,12,16,10,48,52,-4,52
2024,10,Mallorca,38,13,9,16,35,44,-9,48
2024,11,Real Sociedad,38,13,7,18,35,46,-11,46
2024,12,Valencia,38,11,13,14,44,54,-10,46
2024,13,Getafe,38,11,9,18,34,39,-5,42
2024,14,Espanyol,38,11,9,18,40,51,-11,42
2024,15,Alavés,38,10,12,16,38,48,-10,42
2024,16,Girona,38,11,8,19,44,60,-16,41
2024,17,Sevilla FC,38,10,11,17,42,55,-13,41
2024,18,Leganés,38,9,13,16,39,56,-17,40
2024,19,Las Palmas,38,8,8,22,40,61,-21,32
2024,20,Real Valladolid,38,4,4,30,26,90,-64,16
