season,position,team,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2021,1,Real Madrid,38,26,8,4,80,31,49,86
2021,2,Barcelona,38,21,10,7,68,38,30,73
2021,3,Atlético Madrid,38,21,8,9,65,43,22,71
2021,4,Sevilla FC,38,18,16,4,53,30,23,70
2021,5,Real Betis,38,19,8,11,62,40,22,65
2021,6,Real Sociedad,38,17,11,10,40,37,3,62
2021,7,Villarreal,38,16,11,11,63,37,26,59
2021,8,Athletic Club,38,14,13,11,43,36,7,55
2021,9,Valencia,38,11,15,12,48,53,-5,48
2021,10,Osasuna,38,12,11,15,37,51,-14,47
2021,11,Celta Vigo,38,12,10,16,43,43,0,46
2021,12,Rayo Vallecano,38,11,9,18,39,50,-11,42
2021,13,Elche,38,11,9,18,40,52,-12,42
2021,14,Espanyol,38,10,12,16,40,53,-13,42
2021,15,Getafe,38,8,15,15,33,41,-8,39
2021,16,Mallorca,38,10,9,19,36,63,-27,39
2021,17,Cádiz,38,8,15,15,35,51,-16,39
2021,18,Granada,38,8,14,16,44,61,-17,38
2021,19,Levante,38,8,11,19,51,76,-25,35
2021,20,Alavés,38,8,7,23,31,65,-34,31
