season,position,team,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2022,1,Barcelona,38,28,4,6,70,20,50,88
2022,2,Real Madrid,38,24,6,8,75,36,39,78
2022,3,Atlético Madrid,38,23,8,7,70,33,37,77
2022,4,Real Sociedad,38,21,8,9,51,35,16,71
2022,5,Villarreal,38,19,7,12,59,40,19,64
2022,6,Real Betis,38,17,9,12,46,41,5,60
2022,7,Osasuna,38,15,8,15,37,42,-5,53
2022,8,Athletic Club,38,14,9,15,47,43,4,51
2022,9,Mallorca,38,14,8,16,37,43,-6,50
2022,10,Girona,38,13,10,15,58,55,3,49
2022,11,Rayo Vallecano,38,13,10,15,45,53,-8,49
2022,12,Sevilla FC,38,13,10,15,47,54,-7,49
2022,13,Celta Vigo,38,11,10,17,43,53,-10,43
2022,14,Cádiz,38,10,12,16,30,53,-23,42
2022,15,Getafe,38,10,12,16,34,45,-11,42
2022,16,Valencia,38,11,9,18,42,45,-3,42
2022,17,Almería,38,11,8,19,49,65,-16,41
2022,18,Real Valladolid,38,11,7,20,33,63,-30,40
2022,19,Espanyol,38,8,13,17,52,69,-17,37
2022,20,Elche,38,5,10,23,30,67,-37,25
